Wall time,Step,Value
1619304666.449654,138300,304.0
1619304884.3887362,139700,344.0
1619304946.9299521,140100,408.0
1619305056.2851734,140800,442.0
1619305087.5998092,141000,416.0
1619305181.1653056,141600,466.0
1619305212.4630845,141800,466.0
1619305430.3215153,143200,474.0
1619305445.7733076,143300,456.0
1619305601.7593665,144300,330.0
1619305648.579178,144600,414.0
1619305788.7661006,145500,718.0
1619305851.2323008,145900,670.0
1619305914.0294228,146300,548.0
1619306054.7800894,147200,358.0
1619306070.4478896,147300,404.0
1619306164.1291077,147900,570.0
1619306179.6923432,148000,570.0
1619306257.745172,148500,366.0
1619306537.568744,150300,398.0
1619306624.7046072,150600,376.0
1619306764.0482624,151500,454.0
1619307229.615951,154500,510.0
1619307431.843311,155800,434.0
1619307525.1065116,156400,430.0
1619307571.7096045,156700,402.0
1619307602.7660897,156900,376.0
1619307665.0193808,157300,442.0
1619307758.5413663,157900,412.0
1619307836.6322863,158400,488.0
1619307992.2397313,159400,680.0
1619308086.0553637,160000,578.0
1619308164.1683576,160500,544.0
1619308319.7130342,161500,480.0
1619308397.557638,162000,514.0
1619308973.4776073,165700,546.0
1619309035.7987168,166100,552.0
1619309051.3326137,166200,510.0
1619309066.9368777,166300,530.0
1619309347.471208,168100,522.0
1619309535.0254714,169300,616.0
1619309550.549487,169400,610.0
1619309644.072097,170000,630.0
1619309753.099055,170700,530.0
1619310157.8822353,173300,724.0
1619310344.7541149,174500,576.0
1619310515.9119914,175600,390.0
1619310562.3955076,175900,342.0
1619310608.9563117,176200,290.0
1619310919.770843,178200,636.0
1619311012.9409788,178800,412.0
1619311121.578385,179500,592.0
1619311214.8376822,180100,580.0
1619311463.4064748,181700,406.0
1619311509.9748251,182000,388.0
1619311681.1980906,183100,566.0
1619311727.6453583,183400,534.0
1619311774.2071874,183700,300.0
1619311789.7297268,183800,300.0
1619312535.5838363,188600,396.0
1619312582.476574,188900,486.0
1619312629.2290425,189200,444.0
1619312644.8409443,189300,434.0
1619312987.3857412,191500,380.0
1619313174.535815,192700,400.0
1619313205.713034,192900,572.0
1619313267.9457521,193300,512.0
1619313330.2467701,193700,402.0
1619313392.4711032,194100,368.0
1619313782.083118,196600,506.0
1619313797.5399523,196700,528.0
1619313968.4848273,197800,572.0
1619314093.0405922,198600,796.0
1619314155.1933236,199000,760.0
1619314186.2195323,199200,882.0
1619314485.5998156,200900,402.0
1619314719.2763476,202400,618.0
1619314781.7126105,202800,550.0
1619315170.9049933,205300,364.0
1619315420.0673847,206900,606.0
1619315435.7197232,207000,508.0
1619315669.0197313,208500,500.0
1619315731.2432144,208900,494.0
1619315979.9376402,210500,580.0
1619315995.520208,210600,566.0
1619316198.1459608,211900,658.0
1619316338.2960918,212800,408.0
1619316415.9605582,213300,272.0
1619316493.7670746,213800,284.0
1619316540.3372471,214100,416.0
1619316618.3467877,214600,490.0
1619316665.098131,214900,540.0
1619316852.6782327,216100,630.0
1619316976.9751287,216900,346.0
1619317086.005712,217600,338.0
1619317194.926223,218300,340.0
1619317335.3777502,219200,568.0
1619317397.794534,219600,614.0
1619317428.8527136,219800,506.0
1619317460.1430082,220000,502.0
1619317506.9566255,220300,658.0
1619317616.0615737,221000,480.0
1619317756.229139,221900,320.0
1619317911.9711602,222900,446.0
1619317974.1868298,223300,518.0
1619318005.1250348,223500,550.0
1619318051.7569194,223800,512.0
1619318129.468486,224300,414.0
1619318176.295268,224600,402.0
1619318191.8774295,224700,420.0
1619318207.437249,224800,420.0
1619318503.8931727,226700,410.0
1619318644.521991,227600,474.0
1619318737.9762936,228200,620.0
1619318847.191237,228900,492.0
1619318862.7244976,229000,492.0
1619319003.1193676,229900,486.0
1619319112.194277,230600,368.0
1619319439.0910122,232700,652.0
1619319501.682122,233100,440.0
1619319657.5295382,234100,478.0
1619319719.7417417,234500,412.0
1619319859.9469433,235400,512.0
1619320062.777682,236700,540.0
1619320109.500187,237000,500.0
1619320202.708144,237600,328.0
1619320233.6555989,237800,310.0
1619320763.5245976,241200,498.0
1619320856.9947302,241800,478.0
1619321121.822709,243500,322.0
1619321153.014094,243700,336.0
1619321277.429281,244500,354.0
1619321324.0404675,244800,412.0
1619321355.223369,245000,314.0
1619321636.0299585,246800,496.0
1619321854.1863873,248200,482.0
1619321885.2796574,248400,372.0
1619322165.7541013,250200,380.0
1619322265.8271031,250600,442.0
1619322390.439464,251400,416.0
1619322655.079729,253100,466.0
1619322748.8687875,253700,546.0
1619323123.0761528,256100,718.0
1619323309.434526,257300,304.0
1619323325.084023,257400,304.0
